fecha,region,ciudad,cliente,vendedor,categoria,producto,metodo_pago,estado,unidades,precio_unitario,costo_unitario,monto
2026-12-15,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Varilla,Tarjeta,Completada,84,180,130,15120
2026-12-16,Norte,Monterrey,Constructora Lumen,Ana Torres,Alimentos,Azucar,Transferencia,Completada,152,44,29,6688
2026-12-18,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Disco SSD,Efectivo,Completada,26,900,620,23400
2026-12-22,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Grava,Credito,Completada,186,90,55,16740
2026-12-23,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Cemento,Efectivo,Completada,108,150,110,16200
2026-12-24,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Tubo PVC,Transferencia,Completada,53,120,80,6360
2026-12-25,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Grava,Credito,Completada,185,90,55,16650
2026-12-26,Sureste,Merida,Peninsular Trade,Sofia Lara,Alimentos,Cafe,Transferencia,Devuelta,67,120,82,8040
2026-12-27,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Grava,Transferencia,Completada,140,90,55,12600
2026-12-28,Centro,CDMX,Corporativo Zenit,Luis Prado,Electronica,Teclado,Transferencia,Completada,25,250,150,6250
